product_id,name,category,subcategory,price,currency,colors,sizes,waterproof,stock,rating,description
P-1001,NorthPeak Storm Jacket,Clothing,Jackets,129.99,USD,black|blue,S|M|L|XL,True,18,4.6,Jackets for everyday retail use. Waterproof construction.
P-1002,UrbanThread City Jacket,Clothing,Jackets,89.99,USD,black,M|L,False,12,4.2,Jackets for everyday retail use. Waterproof construction.
P-1003,TrailForge Alpine Jacket,Clothing,Jackets,159.99,USD,black|green,L|XL,True,7,4.8,Jackets for everyday retail use. Waterproof construction.
P-1004,MetroWear Jacket 4,Clothing,Jackets,126.32,USD,grey,M|XL|S|XXL|XS|L,False,14,4.6,Jackets for everyday retail use. Standard weather resistance.
P-1005,UrbanThread Jacket 5,Clothing,Jackets,217.01,USD,grey|red,S|M|XL|XS,False,17,4.5,Jackets for everyday retail use. Standard weather resistance.
P-1006,AeroRun Jacket 6,Clothing,Jackets,156.08,USD,red|blue|navy,M|XL|S|XXL|L,True,3,3.6,Jackets for everyday retail use. Waterproof construction.
P-1007,Luma Jacket 7,Clothing,Jackets,24.48,USD,red,XXL|M|S|XL|L|XS,True,29,3.5,Jackets for everyday retail use. Waterproof construction.
P-1008,Luma Jacket 8,Clothing,Jackets,46.21,USD,beige|grey|red,S|XXL|L|XS,False,3,4.7,Jackets for everyday retail use. Standard weather resistance.
P-1009,MetroWear Jacket 9,Clothing,Jackets,48.87,USD,blue|red|beige,L|XL|M|XXL|XS|S,True,34,4.6,Jackets for everyday retail use. Waterproof construction.
P-1010,Luma Jacket 10,Clothing,Jackets,173.26,USD,green|red,XXL|M,True,32,4.6,Jackets for everyday retail use. Waterproof construction.
P-1011,Luma Jacket 11,Clothing,Jackets,120.55,USD,red|blue|green,XL|XXL|XS,True,38,3.8,Jackets for everyday retail use. Waterproof construction.
P-1012,Luma Jacket 12,Clothing,Jackets,21.93,USD,black,XL|XS|XXL,False,31,4.7,Jackets for everyday retail use. Standard weather resistance.
P-1013,AeroRun T-Shirt 1,Clothing,T-Shirts,215.55,USD,navy,S|M|L|XS|XL|XXL,False,25,5.0,T-Shirts for everyday retail use. Standard weather resistance.
P-1014,NovaStep T-Shirt 2,Clothing,T-Shirts,149.28,USD,navy|black|blue,XS|M|XXL,False,37,4.2,T-Shirts for everyday retail use. Standard weather resistance.
P-1015,NorthPeak T-Shirt 3,Clothing,T-Shirts,136.86,USD,black,XS|XXL|M,False,4,4.1,T-Shirts for everyday retail use. Standard weather resistance.
P-1016,NovaStep T-Shirt 4,Clothing,T-Shirts,74.25,USD,green,XL|L|S|XXL|M|XS,False,6,3.4,T-Shirts for everyday retail use. Standard weather resistance.
P-1017,MetroWear T-Shirt 5,Clothing,T-Shirts,105.07,USD,navy|beige,XXL|XS,False,3,3.9,T-Shirts for everyday retail use. Standard weather resistance.
P-1018,UrbanThread T-Shirt 6,Clothing,T-Shirts,86.54,USD,red,XL|L|S,False,27,3.5,T-Shirts for everyday retail use. Standard weather resistance.
P-1019,UrbanThread T-Shirt 7,Clothing,T-Shirts,111.45,USD,blue|black,XS|XXL|S|XL|L|M,False,30,3.6,T-Shirts for everyday retail use. Standard weather resistance.
P-1020,NorthPeak T-Shirt 8,Clothing,T-Shirts,99.01,USD,beige,L|M,False,29,3.7,T-Shirts for everyday retail use. Standard weather resistance.
P-1021,NovaStep T-Shirt 9,Clothing,T-Shirts,158.71,USD,red,S|XS|XL|M,False,20,3.3,T-Shirts for everyday retail use. Standard weather resistance.
P-1022,AeroRun T-Shirt 10,Clothing,T-Shirts,136.0,USD,blue,XS|XL|XXL,False,15,3.9,T-Shirts for everyday retail use. Standard weather resistance.
P-1023,Stone&Co T-Shirt 11,Clothing,T-Shirts,208.2,USD,black|grey|navy,XXL|XL|M|S|XS,False,20,3.6,T-Shirts for everyday retail use. Standard weather resistance.
P-1024,Luma T-Shirt 12,Clothing,T-Shirts,97.95,USD,white|beige,XS|L,False,39,5.0,T-Shirts for everyday retail use. Standard weather resistance.
P-1025,UrbanThread Hoodie 1,Clothing,Hoodies,219.21,USD,red|grey|green,M|XS|S,False,23,3.7,Hoodies for everyday retail use. Standard weather resistance.
P-1026,Luma Hoodie 2,Clothing,Hoodies,106.51,USD,black|white|grey,XXL|XS|S|L,False,7,4.8,Hoodies for everyday retail use. Standard weather resistance.
P-1027,AeroRun Hoodie 3,Clothing,Hoodies,167.97,USD,grey|navy,XXL|M|S,False,40,4.7,Hoodies for everyday retail use. Standard weather resistance.
P-1028,Luma Hoodie 4,Clothing,Hoodies,120.09,USD,blue,M|XS|XL|S|L,False,40,5.0,Hoodies for everyday retail use. Standard weather resistance.
P-1029,NovaStep Hoodie 5,Clothing,Hoodies,50.64,USD,beige|grey|black,XS|S,False,34,3.3,Hoodies for everyday retail use. Standard weather resistance.
P-1030,AeroRun Hoodie 6,Clothing,Hoodies,92.58,USD,green|black,M|XS|XXL|XL,False,15,4.4,Hoodies for everyday retail use. Standard weather resistance.
P-1031,MetroWear Hoodie 7,Clothing,Hoodies,89.44,USD,green|blue|beige,L|XS|S,False,21,4.6,Hoodies for everyday retail use. Standard weather resistance.
P-1032,Stone&Co Hoodie 8,Clothing,Hoodies,101.17,USD,green|beige,L|XS,False,30,3.6,Hoodies for everyday retail use. Standard weather resistance.
P-1033,NovaStep Hoodie 9,Clothing,Hoodies,182.95,USD,grey|beige,S|XS|XXL,False,25,3.8,Hoodies for everyday retail use. Standard weather resistance.
P-1034,Luma Hoodie 10,Clothing,Hoodies,192.6,USD,beige|white,M|XS|XL|S|L|XXL,False,2,3.4,Hoodies for everyday retail use. Standard weather resistance.
P-1035,TrailForge Hoodie 11,Clothing,Hoodies,105.78,USD,blue|red,S|M|XS|XL|XXL|L,False,33,4.9,Hoodies for everyday retail use. Standard weather resistance.
P-1036,Stone&Co Hoodie 12,Clothing,Hoodies,126.77,USD,beige|black,XL|M|XS|XXL,False,19,4.1,Hoodies for everyday retail use. Standard weather resistance.
P-1037,TrailForge Jean 1,Clothing,Jeans,152.71,USD,grey|navy,S|L|XL,False,11,4.3,Jeans for everyday retail use. Standard weather resistance.
P-1038,NorthPeak Jean 2,Clothing,Jeans,78.79,USD,grey|blue,XL|XXL|M|S|L,False,28,4.4,Jeans for everyday retail use. Standard weather resistance.
P-1039,AeroRun Jean 3,Clothing,Jeans,121.26,USD,blue|green|grey,M|XS|S|XXL|L|XL,False,12,3.5,Jeans for everyday retail use. Standard weather resistance.
P-1040,NovaStep Jean 4,Clothing,Jeans,27.34,USD,blue|red|beige,S|L|XL|XXL|XS|M,False,0,4.8,Jeans for everyday retail use. Standard weather resistance.
P-1041,UrbanThread Jean 5,Clothing,Jeans,191.81,USD,red|blue,L|XS|S|XL|XXL|M,False,29,4.4,Jeans for everyday retail use. Standard weather resistance.
P-1042,TrailForge Jean 6,Clothing,Jeans,217.55,USD,beige|navy,L|S|XXL|XL|M|XS,False,40,3.7,Jeans for everyday retail use. Standard weather resistance.
P-1043,NovaStep Jean 7,Clothing,Jeans,175.09,USD,red|green|navy,XXL|M,False,15,3.7,Jeans for everyday retail use. Standard weather resistance.
P-1044,UrbanThread Jean 8,Clothing,Jeans,82.58,USD,green,L|S|XL,False,4,3.9,Jeans for everyday retail use. Standard weather resistance.
P-1045,NovaStep Jean 9,Clothing,Jeans,84.84,USD,black|blue,L|XL|XS|M|S,False,30,3.2,Jeans for everyday retail use. Standard weather resistance.
P-1046,MetroWear Jean 10,Clothing,Jeans,89.06,USD,red|navy,M|L|XL,False,1,3.9,Jeans for everyday retail use. Standard weather resistance.
P-1047,MetroWear Jean 11,Clothing,Jeans,153.11,USD,green|beige|red,XL|XXL|XS,False,25,4.3,Jeans for everyday retail use. Standard weather resistance.
P-1048,UrbanThread Jean 12,Clothing,Jeans,151.93,USD,beige|blue|red,XS|M|L,False,20,3.6,Jeans for everyday retail use. Standard weather resistance.
P-1049,MetroWear Trouser 1,Clothing,Trousers,84.02,USD,beige|green,L|XS,False,34,3.3,Trousers for everyday retail use. Standard weather resistance.
P-1050,Stone&Co Trouser 2,Clothing,Trousers,210.29,USD,blue|beige|white,XS|S,False,12,4.7,Trousers for everyday retail use. Standard weather resistance.
P-1051,Stone&Co Trouser 3,Clothing,Trousers,143.51,USD,navy,XL|S,False,29,4.5,Trousers for everyday retail use. Standard weather resistance.
P-1052,AeroRun Trouser 4,Clothing,Trousers,172.91,USD,blue|beige|navy,XS|XL|XXL|S,False,36,4.4,Trousers for everyday retail use. Standard weather resistance.
P-1053,MetroWear Trouser 5,Clothing,Trousers,211.55,USD,red|black|grey,XS|M|XXL,False,36,4.6,Trousers for everyday retail use. Standard weather resistance.
P-1054,MetroWear Trouser 6,Clothing,Trousers,88.14,USD,white|black|grey,XS|L|XL|XXL,False,27,4.9,Trousers for everyday retail use. Standard weather resistance.
P-1055,NovaStep Trouser 7,Clothing,Trousers,146.39,USD,green|red|blue,XXL|M|L|S|XL|XS,False,20,4.7,Trousers for everyday retail use. Standard weather resistance.
P-1056,UrbanThread Trouser 8,Clothing,Trousers,185.81,USD,navy|blue,XL|XXL|L|S|XS,False,31,4.7,Trousers for everyday retail use. Standard weather resistance.
P-1057,Stone&Co Trouser 9,Clothing,Trousers,54.73,USD,grey|green,XL|M|XS|XXL,False,12,3.4,Trousers for everyday retail use. Standard weather resistance.
P-1058,NovaStep Trouser 10,Clothing,Trousers,163.46,USD,red|white|navy,L|XS|XL|S|XXL,False,25,4.4,Trousers for everyday retail use. Standard weather resistance.
P-1059,TrailForge Trouser 11,Clothing,Trousers,79.85,USD,white|red,M|XXL|L|S|XL|XS,False,14,3.4,Trousers for everyday retail use. Standard weather resistance.
